Round ID,Bet Amount,Total Win/Loss,Valid Bet Amt,Login Name
ugs-2213092033,1,-1,0,sss_yxl1118
ugs-2213092051,5,-5,0,sss_yujingtao007
ugs-2213091982,5,-5,0,sss_360996666
ugs-2213092011,20,-20,0,sss_rzz8888
ugs-2213091984,1,-1,0,sss_maomao0319
ugs-2213091910,1,1,0,sss_yxl1118
ugs-2213091859,5,10,0,sss_yujingtao007
ugs-2213091858,1,-1,0,sss_maomao0319
ugs-2213091810,1,-1,0,sss_yxl1118
ugs-2213091816,5,-5,0,sss_360996666
ugs-2213091749,5,-5,0,sss_yujingtao007
ugs-2213091674,1,4,0,sss_yxl1118
ugs-2213091699,5,6,0,sss_sb3hao
ugs-2213091647,5,-5,0,sss_360996666
ugs-2213091601,5,-5,0,sss_yujingtao007
ugs-2213091582,20,-20,0,sss_rzz8888
ugs-2213091581,1,3,0,sss_maomao0319
ugs-2213091599,10,-10,0,sss_hh032111
ugs-2213091566,1,-1,0,sss_yxl1118
ugs-2213091560,5,-5,0,sss_sb3hao
ugs-2213091486,1,-1,0,sss_yxl1118
ugs-2213091484,1,-1,0,sss_maomao0319
ugs-2213091483,5,-5,0,sss_360996666
ugs-2213091488,5,-5,0,sss_yujingtao007
ugs-2213091445,20,-20,0,sss_rzz8888
ugs-2213091385,5,-5,0,sss_yujingtao007
ugs-2213091372,5,-2,0,sss_sb3hao
ugs-2213091398,1,1.8,0,sss_zong137
ugs-2213091367,1,-1,0,sss_yxl1118
ugs-2213091356,1,-1,0,sss_maomao0319
ugs-2213091343,5,-5,0,sss_360996666
ugs-2213091300,20,-20,0,sss_rzz8888
ugs-2213091277,5,-5,0,sss_yujingtao007
ugs-2213091248,1,-1,0,sss_maomao0319
ugs-2213091235,1,-1,0,sss_yxl1118
ugs-2213091183,5,-5,0,sss_360996666
ugs-2213091099,1,-1,0,sss_yxl1118
ugs-2213091145,20,-20,0,sss_rzz8888
ugs-2213091134,10,-10,0,sss_hh032111
ugs-2213091123,5,2.5,0,sss_sb3hao
ugs-2213091138,5,-5,0,sss_yujingtao007
