,Login Name,Total Win/Loss,Player,Jackpot Contribution,Company Win/Loss
0,sss_1041667203,301.2,sss_1041667203,13.54,-314.74
1,sss_13088297840,-3.0,sss_13088297840,0.08,2.92
2,sss_13118088999,-5.1,sss_13118088999,0.18,4.92
3,sss_13209864888,-2945.0,sss_13209864888,0.00,"2,945.00"
4,sss_13890000002,-4320.8,sss_13890000002,465.50,"3,855.30"
5,sss_15151459009,-386.0,sss_15151459009,8.52,377.48
6,sss_15181776669,-280.0,sss_15181776669,0.00,280.00
7,sss_15358755555,-1245.2,sss_15358755555,130.76,"1,114.44"
8,sss_18651675752,-33430.0,sss_18651675752,290.00,"33,140.00"
9,sss_20196688,-820.0,sss_20196688,6.80,813.20
10,sss_2732509974,-62.0,sss_2732509974,84.60,-22.60
11,sss_360996666,-1475.5,sss_360996666,160.40,"1,315.10"
12,sss_361924030,-666.5,sss_361924030,7.00,659.50
13,sss_550387170,428.2,sss_550387170,0.00,-428.20
14,sss_555656,-100.0,sss_555656,0.00,100.00
15,sss_6112938v,-170.0,sss_6112938v,7.12,162.88
16,sss_673052088,-20.0,sss_673052088,0.00,20.00
17,sss_782217409,-5.8,sss_782217409,0.14,5.66
18,sss_81489310,-390.5,sss_81489310,29.78,360.72
19,sss_a02422,3856.0,sss_a02422,21.60,"-3,877.60"
20,sss_a45941327,169.0,sss_a45941327,0.00,-169.00
21,sss_aa137138,-2026.9,sss_aa137138,178.40,"1,848.50"
22,sss_aaa0999,-19808.0,sss_aaa0999,0.00,"19,808.00"
23,sss_aaa1969,685.0,sss_aaa1969,0.00,-685.00
24,sss_aayy136688,-854.5,sss_aayy136688,230.90,623.60
25,sss_abab77777,1297.0,sss_abab77777,0.00,"-1,297.00"
26,sss_abcd1986,322.5,sss_abcd1986,7.00,-329.50
27,sss_aft118testrmb,-15.8,0,0,0
28,sss_aft119testrmb,-3.0,0,0,0
29,sss_assher,-230.0,sss_assher,0.00,230.00
30,sss_baye8888,1000.0,sss_baye8888,0.00,"-1,000.00"
31,sss_bigshowzz,88809.7,sss_bigshowzz,"2,018.80","-90,828.50"
32,sss_bono007,-110.0,sss_bono007,0.00,110.00
