,Round ID,Total Win/Loss,Game Provider Round ID,Jackpot Contribution,Win/Loss
0,ugs-2213092033,-1.0,,,
1,ugs-2213092051,-5.0,,,
2,ugs-2213091982,-5.0,,,
3,ugs-2213092011,-20.0,,,
4,ugs-2213091984,-1.0,,,
5,ugs-2213091910,1.0,,,
6,ugs-2213091859,10.0,,,
7,ugs-2213091858,-1.0,,,
8,ugs-2213091810,-1.0,,,
9,ugs-2213091816,-5.0,,,
10,ugs-2213091749,-5.0,,,
11,ugs-2213091674,4.0,,,
12,ugs-2213091699,6.0,,,
13,ugs-2213091647,-5.0,,,
14,ugs-2213091601,-5.0,,,
15,ugs-2213091582,-20.0,,,
16,ugs-2213091581,3.0,,,
17,ugs-2213091599,-10.0,,,
18,ugs-2213091566,-1.0,,,
19,ugs-2213091560,-5.0,,,
20,ugs-2213091486,-1.0,,,
21,ugs-2213091484,-1.0,,,
22,ugs-2213091483,-5.0,,,
23,ugs-2213091488,-5.0,,,
24,ugs-2213091445,-20.0,,,
25,ugs-2213091385,-5.0,,,
26,ugs-2213091372,-2.0,,,
27,ugs-2213091398,1.8,,,
28,ugs-2213091367,-1.0,,,
29,ugs-2213091356,-1.0,,,
30,ugs-2213091343,-5.0,,,
31,ugs-2213091300,-20.0,,,
32,ugs-2213091277,-5.0,,,
33,ugs-2213091248,-1.0,,,
34,ugs-2213091235,-1.0,,,
35,ugs-2213091183,-5.0,,,
36,ugs-2213091099,-1.0,,,
37,ugs-2213091145,-20.0,,,
38,ugs-2213091134,-10.0,,,
39,ugs-2213091123,2.5,,,
40,ugs-2213091138,-5.0,,,
41,ugs-2213091016,-1.0,,,
42,ugs-2213091026,-5.0,,,
43,ugs-2213090986,-5.0,,,
44,ugs-2213090929,-1.0,,,
45,ugs-2213090896,-5.0,,,
46,ugs-2213090888,3.5,,,
47,ugs-2213090894,-5.0,,,
48,ugs-2213090844,-1.0,,,
49,ugs-2213090800,-5.0,,,
50,ugs-2213090802,-20.0,,,
51,ugs-2213090764,-1.0,,,
52,ugs-2213090757,-5.0,,,
53,ugs-2213090756,-1.0,,,
54,ugs-2213090706,-5.0,,,
55,ugs-2213090674,-20.0,,,
56,ugs-2213090647,-1.0,,,
57,ugs-2213090635,-5.0,,,
58,ugs-2213090633,-1.0,,,
59,ugs-2213090568,-5.0,,,
60,ugs-2213090583,13.7,,,
61,ugs-2213090525,-1.0,,,
62,ugs-2213090522,-5.0,,,
63,ugs-2213090509,-1.0,,,
64,ugs-2213090468,-1.0,,,
65,ugs-2213090428,-1.0,,,
66,ugs-2213090418,-1.0,,,
