"Day","Brand","Currency","Game Provider","Player","TGP Player Id","Rounds","Bet Amount","Turnover","Valid Bets","Jackpot Contribution","Company Win/Loss","Company Win/Loss %"
"2018-05-16","sss988","RMB","Red Tiger","sss_zyd123","9b3007ce-464c-433d-b605-d99188d7d285",690,"5,001.00","4,981.40","4,981.40",19.60,664.40,"13.29 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_zsssmy","c0211e37-2c55-48fc-b2fe-7f723818c0a2",4,4.00,4.00,4.00,0.00,4.00,"100.00 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_zong137","122e271b-18a0-42a3-84dc-b6cc81ec6a59",3394,"82,738.00","82,738.00","82,738.00",0.00,"16,555.00","20.01 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_zjy828","797ba5ed-2d5c-4987-ab68-242278a41f19",304,"4,015.00","4,015.00","4,015.00",0.00,-403.70,"-10.05 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_zjy0920","50320e4f-1cec-4ab3-86fc-38a452b1ab73",676,"4,450.00","4,427.30","4,427.30",22.70,775.30,"17.42 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_zjp86216","8d9447ef-679e-42c4-b73d-45cfc6bd53d0",172,172.00,172.00,172.00,0.00,-117.10,"-68.08 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_zjm326088","91c90ab1-85a0-450d-a6ab-720a997a52f7",132,132.00,132.00,132.00,0.00,-77.00,"-58.33 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_zj703703","f9b30176-2b5e-4d25-a67a-78060330d83c",154,762.00,746.76,746.76,15.24,84.76,"11.12 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_zj1098","e331b54f-0efe-4d9c-96e1-32f00221fc0d",210,"2,713.00","2,711.30","2,711.30",1.70,497.50,"18.34 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_zhouao598","14a7bf9c-0ac3-41ab-90ad-fdf19ffbea12",37,185.00,185.00,185.00,0.00,130.00,"70.27 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_zhou1381","072d5465-4492-4105-acc5-60d04a5418d8",18,34.00,33.32,33.32,0.68,2.32,"6.82 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_zhanglang888","6c46d95e-73f0-42e3-a27d-3c58a546c316",159,"1,461.00","1,461.00","1,461.00",0.00,"-1,600.00","-109.51 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_zgwz0578","d308bb44-fc24-4839-964b-01d9444f7696",7,31.00,31.00,31.00,0.00,19.00,"61.29 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_yxl1118","a4a87c5d-a0cd-4a1f-be88-ec1ada56ff81",5772,"14,255.00","14,255.00","14,255.00",0.00,"2,687.00","18.85 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_ywc1987","14330213-f5dc-41a8-8a1b-0d73b6d39d06",903,"2,135.00","2,135.00","2,135.00",0.00,-686.90,"-32.17 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_yujingtao007","b1c52ce4-2f51-4e5c-a9bf-83ec4e8aa473",3287,"15,199.00","15,199.00","15,199.00",0.00,"-1,031.20","-6.78 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_yuenqing","73a0be4a-aeb6-450a-a0b7-81348cd62d44",3370,"183,715.00","183,715.00","183,715.00",0.00,"-11,515.00","-6.27 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_yjm600881","e6244a0f-5bda-4154-8314-1fdae59dd45a",364,465.00,465.00,465.00,0.00,199.70,"42.95 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_yinkuixing","6c1b4752-cf9b-47c6-bb10-e717dcf70b97",1335,"4,534.00","4,531.62","4,531.62",2.38,953.82,"21.04 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_yd0518","4b45152e-fe06-4090-b114-927cb0f80cd5",140,700.00,700.00,700.00,0.00,285.00,"40.71 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_ycj0403","e1042e28-edd5-43c9-978b-a4814be850a8",433,433.00,429.86,429.86,3.14,-132.04,"-30.49 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_yanp235","3f4b4cb8-a18e-4e71-9741-fcf304b643cc",582,"5,685.00","5,685.00","5,685.00",0.00,"1,368.30","24.07 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_yangwen12","50e5ed1d-379a-4812-932b-679be3c62f21",1256,"1,256.00","1,251.66","1,251.66",4.34,9.11,"0.73 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_xx880303","40a1d5f1-21c5-42cb-9a8f-2720ed62847d",69,77.00,75.46,75.46,1.54,33.46,"43.45 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_xuwei8561","46f8a906-5737-4f25-99f3-64d00efd96ff",527,"12,723.00","12,468.54","12,468.54",254.46,"5,018.44","39.44 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_xuhui520","95d7eb25-8996-4f7b-b7f2-016c76d8fd1a",5,5.00,5.00,5.00,0.00,5.00,"100.00 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_xu3521961","a649cdec-92ce-4dc0-a6ff-c0fee8c33074",332,528.00,524.46,524.46,3.54,255.86,"48.46 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_xu002236","9062c526-8230-45dd-8cad-681e59c29706",4847,"49,409.00","49,341.80","49,341.80",67.20,"6,497.10","13.15 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_xipishi","0d11ee1f-4ca7-4464-adb2-1768c7095b00",11,11.00,10.78,10.78,0.22,6.58,"59.82 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_xiaochi90817","1fdcabbe-4f54-4af8-9279-006458d1323c",2094,"2,094.00","2,054.18","2,054.18",39.82,-540.22,"-25.80 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_xh69499","df8bca89-cc7c-42ab-811b-775a5f60bf0d",99,99.00,97.02,97.02,1.98,67.72,"68.40 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_x494872930","1fadb58f-549f-435d-a1fe-d2b77dbffcdb",154,158.00,158.00,158.00,0.00,63.00,"39.87 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_wyan555","31792d8a-05bf-41ee-9217-94c62b86f7c9",214,"1,018.00","1,018.00","1,018.00",0.00,142.60,"14.01 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_wwm168","6a5d0b4b-f0eb-44af-aca9-8fc512ee7677",1456,"1,456.00","1,456.00","1,456.00",0.00,-506.80,"-34.81 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_wwer123","0c12cd98-d6a7-4312-991f-63dfd8c57834",284,376.00,369.92,369.92,6.08,143.32,"38.12 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_wobisheng333","9b199707-d79c-4aac-a3c3-13e2160ccdfe",3,3.00,3.00,3.00,0.00,2.70,"90.00 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_wo4444","4fabbbff-76da-45ec-8ab8-09de80ec6bfb",51,231.00,231.00,231.00,0.00,70.40,"30.48 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_wjybsylh","d2e6a5c0-1434-4bcb-b707-6e6c52c1c41d",370,370.00,370.00,370.00,0.00,79.00,"21.35 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_wei1971j","183cfc07-4cef-486f-a738-187bd3c9065b",157,157.00,153.86,153.86,3.14,-156.04,"-99.39 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_wc55555","c2ce916e-3a67-4375-ad71-4abab749b1fb",197,925.00,925.00,925.00,0.00,132.00,"14.27 %"
"2018-05-16","sss988","RMB","Red Tiger","sss_wb0011","7baebb4e-693d-4786-b802-ab31db238ccb",228,472.00,472.00,472.00,0.00,118.60,"25.13 %"
