"Round Start","Round End","GP Round Start","GP Round End","TGP Round ID","Game Provider Round ID","Bet Amount","Turnover","Valid Bets","Jackpot Contribution","Win/Loss","Before Balance","Post Balance","Round Status","Provider","Game","Game Id","Platform","IP"
"2018-05-16 02:44:16 +08:00","2018-05-16 02:44:16 +08:00","2018-05-16 02:44:16 +08:00","2018-05-16 02:44:16 +08:00","f4a643f2-6f58-e811-80cb-0050568c5b91","ugs-2210522344",40.00,40.00,40.00,0.00,-40.00,80.40,0.40,"Closed","Red Tiger","Roulette","EuropeanRoulette","Desktop","10.22.102.183"
"2018-05-16 02:21:25 +08:00","2018-05-16 02:21:26 +08:00","2018-05-16 02:21:26 +08:00","2018-05-16 02:21:26 +08:00","b70019c1-6c58-e811-80c4-0050568c3532","ugs-2210468018",40.00,40.00,40.00,0.00,80.00,150.40,70.40,"Closed","Red Tiger","Roulette","EuropeanRoulette","Desktop","10.22.102.181"
"2018-05-16 02:20:06 +08:00","2018-05-16 02:20:06 +08:00","2018-05-16 02:20:06 +08:00","2018-05-16 02:20:06 +08:00","4c864c97-6c58-e811-80c4-0050568c3532","ugs-2210465085",30.00,30.00,30.00,0.00,-30.00,170.40,110.40,"Closed","Red Tiger","Roulette","EuropeanRoulette","Desktop","10.22.102.181"
"2018-05-16 02:18:27 +08:00","2018-05-16 02:18:28 +08:00","2018-05-16 02:18:27 +08:00","2018-05-16 02:18:28 +08:00","1c9a9d57-6c58-e811-80c5-0050568c3704","ugs-2210461178",40.00,40.00,40.00,0.00,-40.00,220.40,140.40,"Closed","Red Tiger","Roulette","EuropeanRoulette","Desktop","10.22.102.181"
"2018-05-16 02:16:36 +08:00","2018-05-16 02:16:37 +08:00","2018-05-16 02:16:37 +08:00","2018-05-16 02:16:37 +08:00","de89f218-6c58-e811-80cb-0050568c5b91","ugs-2210456836",40.00,40.00,40.00,0.00,20.00,300.40,120.40,"Closed","Red Tiger","Roulette","EuropeanRoulette","Desktop","10.22.102.181"
"2018-05-16 02:15:18 +08:00","2018-05-16 02:15:19 +08:00","2018-05-16 02:15:19 +08:00","2018-05-16 02:15:19 +08:00","6fb51ae6-6b58-e811-80c5-0050568c3704","ugs-2210453804",40.00,40.00,40.00,0.00,20.00,280.40,200.40,"Closed","Red Tiger","Roulette","EuropeanRoulette","Desktop","10.22.102.181"
"2018-05-16 02:13:52 +08:00","2018-05-16 02:13:52 +08:00","2018-05-16 02:13:51 +08:00","2018-05-16 02:13:52 +08:00","7f0e90b5-6b58-e811-80bd-0050568c1831","ugs-2210450441",30.00,30.00,30.00,0.00,120.00,150.40,90.40,"Closed","Red Tiger","Roulette","EuropeanRoulette","Desktop","10.22.102.181"
"2018-05-16 02:12:47 +08:00","2018-05-16 02:12:47 +08:00","2018-05-16 02:12:47 +08:00","2018-05-16 02:12:47 +08:00","6b56be91-6b58-e811-80bd-0050568c1831","ugs-2210447781",30.00,30.00,30.00,0.00,-30.00,330.40,120.40,"Closed","Red Tiger","Roulette","EuropeanRoulette","Desktop","10.22.102.181"
"2018-05-16 02:11:31 +08:00","2018-05-16 02:11:32 +08:00","2018-05-16 02:11:31 +08:00","2018-05-16 02:11:32 +08:00","6801d15f-6b58-e811-80cb-0050568c5b91","ugs-2210444849",30.00,30.00,30.00,0.00,-30.00,360.40,300.40,"Closed","Red Tiger","Roulette","EuropeanRoulette","Desktop","10.22.102.181"
"2018-05-16 02:09:55 +08:00","2018-05-16 02:09:56 +08:00","2018-05-16 02:09:55 +08:00","2018-05-16 02:09:56 +08:00","ca23012b-6b58-e811-80c4-0050568c3532","ugs-2210440940",40.00,40.00,40.00,0.00,170.00,350.40,120.40,"Closed","Red Tiger","Roulette","EuropeanRoulette","Desktop","10.22.102.181"
"2018-05-16 02:08:39 +08:00","2018-05-16 02:08:40 +08:00","2018-05-16 02:08:40 +08:00","2018-05-16 02:08:40 +08:00","fd604ffa-6a58-e811-80cb-0050568c5b91","ugs-2210437960",50.00,50.00,50.00,0.00,-50.00,410.40,310.40,"Closed","Red Tiger","Roulette","EuropeanRoulette","Desktop","10.22.102.181"
"2018-05-16 02:07:17 +08:00","2018-05-16 02:07:17 +08:00","2018-05-16 02:07:17 +08:00","2018-05-16 02:07:17 +08:00","894175cb-6a58-e811-80c4-0050568c3532","ugs-2210434431",40.00,40.00,40.00,0.00,200.00,200.40,120.40,"Closed","Red Tiger","Roulette","EuropeanRoulette","Desktop","10.22.102.181"
"2018-05-16 02:06:00 +08:00","2018-05-16 02:06:00 +08:00","2018-05-16 02:06:00 +08:00","2018-05-16 02:06:00 +08:00","0051f19c-6a58-e811-80bd-0050568c1831","ugs-2210431307",30.00,30.00,30.00,0.00,-30.00,370.40,160.40,"Closed","Red Tiger","Roulette","EuropeanRoulette","Desktop","10.22.102.181"
"2018-05-16 02:04:54 +08:00","2018-05-16 02:04:54 +08:00","2018-05-16 02:04:54 +08:00","2018-05-16 02:04:54 +08:00","e4edeb72-6a58-e811-80bd-0050568c1831","ugs-2210428558",50.00,50.00,50.00,0.00,10.00,380.40,280.40,"Closed","Red Tiger","Roulette","EuropeanRoulette","Desktop","10.22.102.181"
"2018-05-16 02:03:52 +08:00","2018-05-16 02:03:52 +08:00","2018-05-16 02:03:51 +08:00","2018-05-16 02:03:52 +08:00","4edb7c4f-6a58-e811-80c2-0050568c5554","ugs-2210425924",40.00,40.00,40.00,0.00,170.00,300.40,120.40,"Closed","Red Tiger","Roulette","EuropeanRoulette","Desktop","10.22.102.181"
"2018-05-16 02:02:32 +08:00","2018-05-16 02:02:32 +08:00","2018-05-16 02:02:32 +08:00","2018-05-16 02:02:32 +08:00","bfa01122-6a58-e811-80c8-0050568c5392","ugs-2210422405",40.00,40.00,40.00,0.00,-40.00,440.40,260.40,"Closed","Red Tiger","Roulette","EuropeanRoulette","Desktop","10.22.102.181"
"2018-05-16 02:00:57 +08:00","2018-05-16 02:00:57 +08:00","2018-05-16 02:00:57 +08:00","2018-05-16 02:00:57 +08:00","ca9184e8-6958-e811-80c4-0050568c3532","ugs-2210418195",40.00,40.00,40.00,0.00,140.00,300.40,220.40,"Closed","Red Tiger","Roulette","EuropeanRoulette","Desktop","10.22.102.181"
"2018-05-16 01:59:38 +08:00","2018-05-16 01:59:38 +08:00","2018-05-16 01:59:38 +08:00","2018-05-16 01:59:38 +08:00","a3b9d5b7-6958-e811-80cb-0050568c5b91","ugs-2210414598",40.00,40.00,40.00,0.00,100.00,200.40,120.40,"Closed","Red Tiger","Roulette","EuropeanRoulette","Desktop","10.22.102.181"
