Login Name,MAIN BALANCE
sss_lw80007225,0
sss_ss5211,0
sss_xm123456,0
sss_bw189168,0
sss_vip988zp,0
sss_15877099194,0
sss_ruler2167,0
sss_vip550468,0
sss_awebkk,0
sss_chengyeye,0
sss_zhang7217,0
sss_wxj8883,0
sss_gzj1188,0
sss_fhao33,0
sss_ting128,0
sss_linmin888,0.77
sss_zhangfeipe,0
sss_lulinjue13,0
sss_king168168,0.35
sss_wsl1688,0
sss_89379344,0
sss_onealjun34,3617.12
sss_xiaohui1012,0
sss_wudi4231,0
sss_laihcgxt,0
sss_cain1988,0
sss_zhaoyao00544,0
sss_ledyoe889,0
sss_pcc5566,0
sss_dfgj6e3,0
sss_wcfm34,0
sss_wuqing22,0
sss_pan16575,0
sss_zhj919290,5
sss_jlf888999,0
sss_sss510,0
sss_money88888,0
sss_hujin961,0
sss_tongjping,0
sss_t8217071,0
sss_zhaozuoyong,3
sss_2bsd365t,0
sss_simonyim,0
sss_fengche,0
sss_n15yg4f1,0
sss_sh521000,0.08
sss_liying4989,0
sss_2829653781,100
sss_333zhj333,0
sss_lijun245324,0
sss_cxf2247203,0
sss_jt121515,0
sss_zasswf,0
sss_sh8ehf8,0
sss_hxz910199,0
sss_qqqwww666,0
sss_hmj520,226.07
sss_cyc198618,0
sss_zzm8666,0.42
sss_bobo1123,0
sss_kingjojo,0
sss_q747764999,0
sss_a76adahua,0
sss_nmj666691,0
sss_wsdcfjs,0
sss_w1588110,0
sss_wslwsl147258,0.4
sss_yanai121212,189
sss_jianjun998,0
sss_xy1129,0
sss_kang88,0
sss_congcongluck,0.56
sss_bc998866,0
sss_kevinann,0
sss_223058ylq,0
sss_love1213,0
sss_lili8524,0
sss_qiancc555,0
sss_zhubenlin,0
sss_liyang0208,0
sss_ss3333,0
sss_yxqwww,0
sss_fgdfdds,0
sss_drawonly,0
sss_xiaoshi83,0
sss_taozhijun,131.01
sss_zxc8169,0
sss_hxx240055954,0
sss_kunzai,0
